Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Schedule,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Event_Year
LAX99IA013,1998-10-21,"HONOLULU, HI",United States,,,HNL,HONOLULU INTERNATIONAL,INCIDENT,,N581FE,McDonnell Douglas,MD-11,SCHD,FEDERAL EXPRESS CORPORATION,0,0,3.0,VMC,CLIMB,1998
DEN99LA027,1998-12-21,"DENVER, CO",United States,,,DEN,DENVER INTERNATIONAL,NON-FATAL,Substantial,N269FE,Boeing,727,NSCH,FEDERAL EXPRESS CORPORATION,0,0,3.0,VMC,TAXI,1998
ENG08IA025,2008-04-27,"Singapore, Singapore",Singapore,,,SIN,Singapore Changi Airport,INCIDENT,Minor,N595FE,McDonnell Douglas,MD-11,SCHD,FedEx Ecpress (DBA: Air Cargo-Express freight),0,0,,,STANDING,2008
FTW96LA271,1996-06-22,"GRANITE, CO",United States,,,,,NON-FATAL,,N207AU,Boeing,737,SCHD,FRONTIER AIRLINES,0,1,95.0,VMC,DESCENT,1996
DEN04IA026,2003-11-29,"Denver, CO",United States,39.858333,-104.666945,DEN,Denver International,INCIDENT,,N303FL,Boeing,737,SCHD,Frontier Airlines Inc,0,0,135.0,VMC,APPROACH,2003
FTW97IA363,1997-09-24,"SALT LAKE CITY, UT",United States,,,SLC,SALT LAKE CITY INT'L,INCIDENT,Minor,N205AU,Boeing,737,SCHD,"FRONTIER AIRLINES, INC.",0,0,68.0,VMC,TAKEOFF,1997
FTW97LA177,1997-05-04,"DENVER, CO",United States,,,DEN,DENVER INTERNATIONAL,NON-FATAL,,N217US,Boeing,737,SCHD,"FRONTIER AIRLINES, INC.",0,1,96.0,VMC,STANDING,1997
DCA03IA005,2002-10-20,"Baltimore, MD",United States,,,,,INCIDENT,,TF-FII,Boeing,757,SCHD,ICELANDAIR - FKYGKEUDUR HF,0,0,196.0,,TAKEOFF,2002
WPR11LA071,2010-12-03,"Pago Pago, American Samoa",American Samoa,-14.331389,-170.711389,STU,Tafuna/Pago Pago Internl Airpo,NON-FATAL,,N584HA,Boeing,767,SCHD,International Lease Finance Corp (DBA: Hawaiian Airlines),0,1,181.0,VMC,TAKEOFF,2010
WPR11LA139,2011-02-10,"Ni'ihau, HI",United States,21.723334,-160.255278,PHNL,Honolulu International Airport,NON-FATAL,,JA603J,Boeing,767,SCHD,Japan Airlines International,0,1,243.0,VMC,DESCENT,2011
DCA13IA037,2013-01-07,"Boston, MA",United States,42.363056,-71.006389,BOS,Gen Edward Lawrence Logan Intl,INCIDENT,Minor,JA829J,Boeing,787,SCHD,JAPAN AIRLINES INTERNATIONAL CO LTD,0,0,,VMC,OTHER,2013
ENG08IA022,2008-04-19,"Newark, NJ",United States,,,EWR,Newark Liberty International,INCIDENT,Minor,N704CK,Boeing,747,SCHD,KALITTA AIR LLC,0,0,5.0,,TAKEOFF,2008
NYC08IA290,2008-08-26,"Bogota, Colombia",Colombia,4.716389,-74.156389,SKBO,El Dorado International,INCIDENT,,N715CK,Boeing,747,NSCH,KALITTA FLYING SERVICE INC (DBA: Kalitta Air),0,0,5.0,VMC,TAKEOFF,2008
ENG13IA033,2013-07-02,"Ugolny Airport, Unknown",Unknown,60.071111,-178.676111,,,INCIDENT,,HL8275,Boeing,777,SCHD,KOREAN AIR LINES COMPANY LTD,0,0,,UNK,,2013
FTW95LA170,1995-04-13,"DENVER, CO",United States,,,DEN,DENVER INTERNATIONAL,NON-FATAL,Substantial,EICEU,Boeing,737,SCHD,"MARKAIR, INC.",0,0,147.0,VMC,LANDING,1995
NYC96IA116,1996-05-28,"BOSTON, MA",United States,,,BOS,BOSTON/LOGAN INTL,INCIDENT,Minor,PHMCH,Boeing,767,SCHD,MARTINAIR HOLLAND N.V. (DBA: MARTINAIR),0,0,202.0,VMC,CRUISE,1996
NYC06LA033,2005-11-19,"State College, PA",United States,40.849166,-77.848611,UNV,University Park Airport,NON-FATAL,Substantial,N734MA,Boeing,737,NSCH,Miami Air International,0,0,127.0,VMC,APPROACH,2005
NYC05MA083,2005-05-12,"Union Star, MO",United States,39.966667,-94.583333,,,INCIDENT,,N910ME,Boeing,717,SCHD,Midwest Airlines,0,0,80.0,IMC,CLIMB,2005
NYC06IA044,2005-12-20,"Boston, MA",United States,42.364167,-71.005,BOS,Logan International Airport,INCIDENT,Minor,N924ME,Boeing,717,SCHD,Midwest Airlines Inc.,0,0,91.0,VMC,TAKEOFF,2005
CHI07LA021B,2006-11-07,"Milwaukee, WI",United States,42.947222,-87.896666,MKE,Mitchell International,NON-FATAL,Substantial,N923ME,Boeing,717,SCHD,"Midwest Airlines, Inc.",0,0,59.0,VMC,STANDING,2006
CHI07LA021A,2006-11-07,"Milwaukee, WI",United States,42.947222,-87.896666,MKE,Mitchell International,NON-FATAL,Minor,N904ME,Boeing,717,SCHD,"Midwest Airlines, Inc.",0,0,59.0,VMC,TAXI,2006
MIA96IA084,1996-02-22,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,INCIDENT,Minor,N751MA,Boeing,707,NSCH,MILLON AIR,0,0,4.0,VMC,CRUISE,1996
CHI97IA033,1996-11-19,"CHICAGO, IL",United States,,,ORD,O'HARE INTL,INCIDENT,,GOITG,Boeing,767,SCHD,MONARCH AIRLINES LIMITED (DBA: ALITALIA AIRLINES),0,0,140.0,VMC,APPROACH,1996
DCA13MA081,2013-04-29,"Bagram, Afghanistan",Afghanistan,34.946389,69.265,OAIX,Bagram Air Base,FATAL,Destroyed,N949CA,Boeing,747,NSCH,National Air Cargo (DBA: National Airlines),7,0,,VMC,STANDING,2013
WPR09FA068A,2008-12-28,"Seattle, WA",United States,47.449722,-122.311667,SEA,Seattle-Tacoma Int. Airport,NON-FATAL,Substantial,N585NW,Boeing,757,SCHD,NORTHWEST AIRLINES INC,0,0,352.0,VMC,,2008
ANC03IA001,2002-10-09,"Anchorage, AK",United States,61.174445,-149.996389,PANC,Ted Stevens International,INCIDENT,,N661US,Boeing,747,SCHD,NORTHWEST AIRLINES INC (DBA: Northwest Airlines Inc.),0,0,404.0,VMC,CRUISE,2002
NYC03CA169,2003-07-22,"Wadsworth, OH",United States,41.024723,-81.727223,,,NON-FATAL,,N504US,Boeing,757,SCHD,Northwest Airlines Inc.,0,1,110.0,VMC,CLIMB,2003
CHI95LA271,1995-08-04,"DETROIT, MI",United States,,,,,NON-FATAL,,N509US,Boeing,757,SCHD,"NORTHWEST AIRLINES, INC.",0,1,126.0,VMC,CRUISE,1995
LAX95IA246,1995-07-04,"LAS VEGAS, NV",United States,,,LAS,MCCARRAN INTERNATIONAL,INCIDENT,Minor,N712RC,Boeing,727,SCHD,"NORTHWEST AIRLINES, INC. (DBA: NORTHWEST AIRLINES, INC.)",0,0,53.0,VMC,LANDING,1995
DEN05IA076B,2005-05-17,"Denver, CO",United States,39.861667,-104.673056,DEN,Denver International Airport,INCIDENT,Minor,N373UA,Boeing,737,SCHD,On File,0,0,187.0,VMC,TAXI,2005
NYC96IA036,1995-12-06,"JAMAICA, NY",United States,,,JFK,JOHN F KENNEDY INTL,INCIDENT,Minor,APBAK,Boeing,747,SCHD,PAKISTAN INTERNATIONAL AIRLINE (DBA: PAKISTAN INTL AIRLINES),0,0,255.0,VMC,TAKEOFF,1995
ATL00LA072,2000-07-28,"CHARLESTON, SC",United States,,,,,NON-FATAL,Minor,N364PA,Boeing,727,SCHD,PAN AM AIRWAYS CORP.,0,2,53.0,VMC,CRUISE,2000
LAX99FA218A,1999-06-06,"LOS ANGELES, CA",United States,33.938611,-118.408889,LAX,Los Angeles International,NON-FATAL,Minor,N751PR,Boeing,747,SCHD,"PHILIPPINE AIRLINES, INC.",0,0,699.0,VMC,TAXI,1999
ERA12LA147,2012-01-16,"Huntington, WV",United States,38.366945,-82.558611,HTS,Tri-State Airport,NON-FATAL,Substantial,N839EX,Bombardier,DHC-8,SCHD,Piedmont Airlines Incorporated (DBA: Piedmont Airlines Incorportated),0,0,36.0,VMC,TAXI,2012
MIA00LA206,2000-07-02,"ORLANDO, FL",United States,,,MCO,ORLANDO INTERNATIONAL,NON-FATAL,Substantial,N460PR,Boeing,737,SCHD,"PRO AIR, INC.",0,0,128.0,VMC,TAXI,2000
DCA09FA045,2009-04-20,"New York, NY",United States,,,KJFK,John F. Kennedy International,NON-FATAL,Substantial,CN-RNT,Boeing,767,SCHD,ROYAL AIR MAROC,0,0,220.0,VMC,LANDING,2009
MIA02IA094,2002-05-08,"Miami, FL",United States,,,,,INCIDENT,Minor,EI-BXI,Boeing,737,SCHD,RYAN AIR INC (DBA: Ryan International Airlines),0,0,160.0,VMC,CRUISE,2002
FTW98FA001,1997-10-01,"DENVER, CO",United States,,,DEN,DENVER INTERNATIONAL,NON-FATAL,Substantial,N414EX,Boeing,727,NSCH,"RYAN INT'L AIRLINES, INC.",0,1,1.0,VMC,TAXI,1997
ENG08IA030,2008-07-05,"Jeddah, Saudi Arabia",Saudi Arabia,,,,,INCIDENT,Minor,HS-VAC,Boeing,747,NSCH,Saudi Arabian Airlines,0,0,,,TAKEOFF,2008
NYC95IA114A,1995-05-19,"NEWARK, NJ",United States,,,EWR,NEWARK INTERNATIONAL,INCIDENT,Minor,LNRCK,Boeing,767,SCHD,SCANDINAVIAN AIRLINE SYSTEM (DBA: SAS),0,0,288.0,VMC,TAXI,1995
DFW07LA155,2007-07-10,"Tunica, MS",United States,34.676389,-90.341666,UTA,Tunica Municipal Airport,FATAL,,N332DL,Boeing,737,NSCH,"Sky King, Inc. (DBA: Sky King, Inc.)",1,0,115.0,VMC,STANDING,2007
ENG11IA011,2010-12-24,"San Francisco, CA",United States,,,SFO,San Franciso,INCIDENT,,N248WN,Boeing,737,SCHD,Southwest Airlines,0,0,122.0,,CLIMB,2010
DCA15CA176,2015-08-23,"Oakland, CA",United States,37.721667,-122.221667,KOAK,Metro Oakland Airport,NON-FATAL,,N232WN,Boeing,737,SCHD,Southwest Airlines,0,1,147.0,VMC,TAXI,2015
DCA15CA050,2014-12-11,"San Jose, CA",United States,37.362778,-121.929167,,,NON-FATAL,,N481WN,Boeing,737,SCHD,Southwest Airlines,0,1,80.0,IMC,DESCENT,2014
DCA14CA120,2014-06-17,"Dallas, TX",United States,32.505278,-97.156667,,,NON-FATAL,,N968WN,Boeing,737,SCHD,Southwest Airlines,0,1,143.0,UNK,CRUISE,2014
ENG08IA002,2007-11-17,"Greenville, TX",United States,33.191111,-95.978334,DAL,Love Field,INCIDENT,Minor,N676SW,Boeing,737,SCHD,Southwest Airlines,0,0,138.0,VMC,CLIMB,2007
WPR13CA016,2012-10-16,"Las Vegas, NV",United States,36.08,-115.152222,KLAS,Las Vegas,NON-FATAL,,N625SW,Boeing,737,SCHD,Southwest Airlines,0,1,85.0,VMC,,2012
DCA15CA025B,2014-11-20,"Dallas, TX",United States,32.841666,-96.85,DAL,Dallas,NON-FATAL,Substantial,N8314L,Boeing,737,SCHD,Southwest Airlines,0,0,179.0,VMC,STANDING,2014
CHI98IA007,1997-10-04,"CHICAGO, IL",United States,,,MDW,MIDWAY,INCIDENT,Minor,N129SW,Boeing,737,SCHD,SOUTHWEST AIRLINES (DBA: SOUTHWEST AIRLINES),0,0,50.0,VMC,LANDING,1997
DCA00MA030,2000-03-05,"BURBANK, CA",United States,,,BUR,BURBANK-GLENDALE-PASADENA,NON-FATAL,Destroyed,N668SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,2,98.0,VMC,LANDING,2000
DCA11MA039,2011-04-01,"Yuma, AZ",United States,32.656667,-114.605833,NYL,Yuma International Airport,NON-FATAL,Substantial,N632SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,121.0,VMC,CLIMB,2011
DCA09FA065,2009-07-13,"Charleston, WV",United States,38.373056,-81.593055,CRW,"Yeager Airport, Charleston, WV",NON-FATAL,Substantial,N387SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,131.0,,,2009
CEN09IA294,2009-05-12,"Houston, TX",United States,29.640555,-95.273889,HOU,William P. Hobby Airport,INCIDENT,Minor,N371SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,51.0,VMC,LANDING,2009
DCA16CA008,2015-10-09,"Pound Ridge, NY",United States,41.239166,-73.579723,,,NON-FATAL,,N383SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,1,147.0,UNK,CRUISE,2015
DCA16CA026,2015-11-29,"St Louis, MO",United States,0.0,0.0,KSTL,Lambert,NON-FATAL,,N467WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,1,147.0,IMC,DESCENT,2015
DCA14IA037,2014-01-12,"Branson, MO",United States,36.625834,-93.228889,KPLK,M. Graham Clark Downtown,INCIDENT,,N272WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,131.0,VMC,LANDING,2014
DCA14CA035,2014-01-09,"Nashville, TN",United States,36.126667,-86.681945,,,NON-FATAL,,N966WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,1,144.0,VMC,,2014
DCA13FA131,2013-07-22,"Flushing, NY",United States,40.777223,-73.8725,LGA,LA GUARDIA,NON-FATAL,Substantial,N753SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,141.0,VMC,LANDING,2013
DCA11CA014B,2010-12-18,"Philadelphia, PA",United States,39.872223,-75.240833,KPHL,Philadelphia,NON-FATAL,Minor,N650SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,222.0,VMC,TAXI,2010
WPR10FA199,2010-04-09,"Los Angeles, CA",United States,33.946666,-118.400278,LAX,Los Angeles International,NON-FATAL,Substantial,N624SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,109.0,VMC,,2010
DFW08IA074B,2008-03-01,"Dallas, TX",United States,32.845277,-96.8525,DAL,DALLAS LOVE FIELD,INCIDENT,Minor,N652SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,244.0,IMC,STANDING,2008
WPR09IA033,2008-11-07,"Salt Lake City, UT",United States,40.788333,-111.977778,KSLC,Salt Lake City Int.,INCIDENT,Minor,N254WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,51.0,VMC,TAXI,2008
WPR12LA144,2012-03-20,"Laverne, OK",United States,36.551667,-93.619445,WWR,West Woodward Airport,NON-FATAL,,N247WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,1,141.0,VMC,,2012
WPR12LA119,2012-02-23,"Pawnee, NE",United States,40.168889,-96.151944,,,NON-FATAL,,N915WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,1,138.0,VMC,,2012
CEN12IA123,2011-12-22,"Denver, CO",United States,,,DEN,Denver International Airport,INCIDENT,Minor,N469WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,133.0,IMC,TAXI,2011
WPR12LA053,2011-12-01,"Oakland, CA",United States,37.66,-119.463333,OAK,Oakland International Airport,NON-FATAL,,N261WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,1,97.0,VMC,CRUISE,2011
DCA11CA014A,2010-12-18,"Philadelphia, PA",United States,39.872223,-75.240833,KPHL,Philadelphia,NON-FATAL,Substantial,N913WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,222.0,VMC,TAXI,2010
WPR10LA134,2010-02-13,"Santa Clarita, CA",United States,34.463889,-118.513611,BUR,Bob Hope,NON-FATAL,,N221WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,1,83.0,VMC,APPROACH,2010
DFW08IA074A,2008-03-01,"Dallas, TX",United States,32.845277,-96.8525,DAL,DALLAS LOVE FIELD,INCIDENT,Minor,N741SA,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,244.0,IMC,TAXI,2008
DCA11IA047,2011-04-26,"Chicago, IL",United States,,,KMDW,Chicago Midway,INCIDENT,Minor,N799SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO,0,0,139.0,IMC,LANDING,2011
WPR13IA226,2013-05-10,"Phoenix, AZ",United States,33.433889,-112.006944,PHX,Phoenix Sky Harbor Int'l,INCIDENT,Minor,N913WN,Boeing,737,SCHD,SOUTHWEST AIRLINES CO (DBA: SOUTHWEST AIRLINES CO),0,0,59.0,VMC,,2013
MIA00LA169,2000-05-20,"NASHVILLE, TN",United States,,,,,NON-FATAL,,N522SW,Boeing,737,SCHD,SOUTHWEST AIRLINES CO.,0,1,1.0,IMC,STANDING,2000
LAX08IA065,2008-02-24,"Las Vegas, NV",United States,36.08,-115.152222,LAS,McCarran International Airport,INCIDENT,,N648SW,Boeing,737,SCHD,Southwest Airlines Co.,0,0,136.0,VMC,DESCENT,2008
NYC08CA115,2008-02-22,"Valdosta, GA",United States,29.97,-82.44,MCO,Orlando International,NON-FATAL,,N551WN,Boeing,737,SCHD,Southwest Airlines Co. (DBA: Southwest Airlines),0,1,102.0,IMC,,2008
FTW95FA319A,1995-07-28,"DALLAS, TX",United States,,,DAL,LOVE FIELD,NON-FATAL,Minor,N675AA,Boeing,737,SCHD,SOUTHWEST AIRLINES CO. (DBA: SOUTHWEST),0,0,99.0,VMC,TAXI,1995
DFW05LA112,2005-04-29,"Little Rock, AR",United States,35.367223,-91.202222,,,NON-FATAL,,N727SW,Boeing,737,SCHD,Southwest Airlines Company (DBA: Southwest Airlines Company),0,1,19.0,VMC,CRUISE,2005
DCA15CA037,2014-12-12,"Baltimore, MD",United States,39.175278,-76.668334,BWI,Baltimore Washington Internati,NON-FATAL,Substantial,N7710A,Boeing,737,SCHD,"Southwest Airlines, Co.",0,0,145.0,VMC,APPROACH,2014
ENG09IA014,2009-09-08,"Los Angeles, CA",United States,33.9425,-118.407222,KLAX,Los Angeles International,INCIDENT,Minor,N670SW,Boeing,737,SCHD,"Southwest Airlines, Co.",0,0,142.0,VMC,LANDING,2009
ENG08IA042,2008-10-01,"Chicago, IL",United States,,,MDW,Chicago Midway,INCIDENT,Minor,N551WN,Boeing,737,SCHD,"Southwest Airlines, Co. (DBA: Southwest Airlines)",0,0,133.0,,TAXI,2008
LAX96IA032,1995-10-30,"LAS VEGAS, NV",United States,,,LAS,MCCARRAN INTERNATIONAL,INCIDENT,,N508SW,Boeing,737,SCHD,"SOUTHWEST AIRLINES, INC.",0,0,96.0,VMC,CLIMB,1995
CEN13LA004,2012-10-04,"Milwaukee, WI",United States,42.941389,-87.891389,KMKE,General Mitchell International,NON-FATAL,Substantial,N894AT,Boeing,717,SCHD,"Southwest Airlines, Inc. (DBA: AirTran Airways)",0,0,108.0,VMC,STANDING,2012
MIA97IA237,1997-08-21,"TAMPA, FL",United States,,,TPA,TAMPA INTERNATIONAL,INCIDENT,Minor,N602SW,Boeing,737,SCHD,SOUTWEST AIRLINES INC.,0,0,74.0,VMC,DESCENT,1997
NYC99LA127,1999-05-28,"STERLING, VA",United States,,,IAD,WASHINGTON DULLES,NON-FATAL,Substantial,N282SC,Boeing,727,SCHD,SUN COUNTRY AIRLINES,0,0,90.0,VMC,TAXI,1999
CHI00LA296,2000-09-10,"MINNEAPOLIS, MN",United States,,,MSP,MINNEAPOLIS ST. PAUL INTL,NON-FATAL,Substantial,N296SC,Boeing,727,SCHD,SUN COUNTRY AIRLINES,0,0,101.0,VMC,TAXI,2000
ENG09IA011,2009-06-14,"Diyarbakir, Turkey",Turkey,,,LTCC,Diyarbakir Airport,INCIDENT,,TC-TLA,Boeing,737,SCHD,Tailwinds Airlines,0,0,,VMC,LANDING,2009
DCA96MA029,1995-12-20,"JAMAICA, NY",United States,,,JFK,JOHN F. KENNEDY INTL,NON-FATAL,Substantial,N605FF,Boeing,747,SCHD,TOWER AIR,0,1,443.0,IMC,TAKEOFF,1995
MIA99FA038,1998-12-01,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,NON-FATAL,Substantial,N621FF,Boeing,747,NSCH,TOWER AIR (DBA: TOWER AIR),0,0,4.0,VMC,STANDING,1998
NYC98FA094,1998-04-18,ATLANTIC OCEAN,,,,,,NON-FATAL,Minor,N623FF,Boeing,747,SCHD,TOWER AIR INC.,0,2,399.0,VMC,CRUISE,1998
MIA96IA039,1995-12-10,"AMSTERDAM, Netherlands",Netherlands,,,EHAM,SCHIPHOL,INCIDENT,Minor,N616FF,Boeing,747,SCHD,"TOWER AIR, INC.",0,0,306.0,IMC,GO-AROUND,1995
CHI01FA270,2001-08-09,"Mascoutah, IL",United States,38.545277,-89.835277,BLV,SCOTT AFB,NON-FATAL,Substantial,N2417F,Boeing,717,SCHD,TRANS WORLD AIRLINES (DBA: Trans World Airlines),0,0,76.0,VMC,TAXI,2001
CHI01IA124,2001-02-19,"Milwaukee, WI",United States,,,MKE,GENERAL MITCHELL INTERNATIONAL,INCIDENT,,N2410W,Boeing,717,SCHD,TRANS WORLD AIRLINES INC,0,0,67.0,VMC,TAKEOFF,2001
DEN03IA101,2003-06-10,"Dodge City, KS",United States,,,,,INCIDENT,,N704X,Boeing,757,SCHD,TWA Airlines LLC. (DBA: American Airlines Flight 2885),0,0,173.0,VMC,CRUISE,2003
ERA11CA247,2011-04-16,"Cheltenham, MD",United States,38.705556,-76.744444,,,NON-FATAL,,N200UU,Boeing,757,SCHD,"U.S. Airways, Inc.",0,1,185.0,IMC,DESCENT,2011
DCA15CA035,2014-11-24,"Valdosta, GA",United States,30.780556,-83.279723,,,NON-FATAL,,N16217,Boeing,737,SCHD,UNITED AIR LINES INC,0,1,146.0,IMC,,2014
DEN04LA019,2003-11-01,"Denver, CO",United States,40.491944,-105.236389,,,NON-FATAL,,N956UA,Boeing,737,SCHD,UNITED AIR LINES INC,0,1,95.0,VMC,DESCENT,2003
CEN12IA502,2012-07-31,"Denver, CO",United States,39.861667,-104.673056,DEN,Denver International Airport,INCIDENT,Minor,N37420,Boeing,737,SCHD,UNITED AIR LINES INC,0,0,157.0,VMC,DESCENT,2012
LAX04LA050,2003-11-14,"San Francisco, CA",United States,37.618889,-122.391389,SFO,San Francisco International,NON-FATAL,Substantial,N178UA,Boeing,747,SCHD,UNITED AIR LINES INC,0,0,356.0,VMC,TAKEOFF,2003
DCA11CA073,2011-06-11,"San Fransico, CA",United States,37.618056,-122.387777,KSFO,San Francisco International,NON-FATAL,Substantial,N571UA,Boeing,757,SCHD,UNITED AIR LINES INC,0,0,190.0,VMC,,2011
ENG09IA007,2009-06-10,"Denver, CO",United States,,,KDEN,Denver International Airport,INCIDENT,Minor,N570UA,Boeing,757,SCHD,UNITED AIR LINES INC,0,0,192.0,,STANDING,2009
DCA14CA124,2014-06-17,"Newark, NJ",United States,40.676389,-74.182778,,,NON-FATAL,,N77066,Boeing,767,SCHD,UNITED AIR LINES INC,0,1,12.0,VMC,,2014
DCA99IA023,1998-11-29,"WASHINGTON, DC",United States,,,,,INCIDENT,,UNK,Boeing,757,SCHD,UNITED AIRLINES,0,0,0.0,UNK,LANDING,1998
LAX99LA212,1999-06-09,PACIFIC OCEAN,,,,,,NON-FATAL,,N198UA,Boeing,747,SCHD,UNITED AIRLINES,0,1,325.0,VMC,CRUISE,1999
DCA01MA065,2001-09-11,"Shanksville, PA",United States,,,,,FATAL,Destroyed,N591UA,Boeing,757,SCHD,United Airlines,44,0,,,CRUISE,2001
WPR13LA131,2013-02-19,"Pacific Ocean, Unknown",Unknown,20.228056,-139.203056,SFO,San Francisco International Ai,NON-FATAL,,N174UA,Boeing,747,SCHD,United Airlines,0,1,220.0,VMC,,2013
DCA11FA091,2011-07-29,"Tangshan, China",China,,,,,NON-FATAL,,N173UA,Boeing,747,SCHD,United Airlines,0,1,380.0,VMC,CLIMB,2011
LAX07LA127,2007-04-12,"Los Angeles, CA",United States,33.9425,-118.408056,KLAX,Los Angeles,NON-FATAL,,N525UA,Boeing,757,SCHD,UNITED AIRLINES,0,1,106.0,VMC,DESCENT,2007
WPR11LA300,2011-05-31,"Los Angeles, CA",United States,33.938889,-118.404722,LAX,Los Angeles Intl.,NON-FATAL,Minor,N526UA,Boeing,757,SCHD,United Airlines,0,1,190.0,VMC,,2011
DCA14CA014,2013-10-18,"Houston, TX",United States,29.762778,-95.383056,,,NON-FATAL,,N665UA,Boeing,767,SCHD,United Airlines,0,1,227.0,VMC,,2013
DCA01MA063,2001-09-11,"New York City, NY",United States,,,,,FATAL,Destroyed,N612UA,Boeing,767,SCHD,United Airlines,65,0,,,CRUISE,2001
CHI07LA093,2007-03-15,"Chicago, IL",United States,41.973889,-87.902778,ORD,CHICAGO O'HARE INTL,NON-FATAL,Substantial,N662UA,Boeing,767,SCHD,United Airlines,0,0,203.0,VMC,TAKEOFF,2007
DEN03IA033,2003-01-11,"Salt Lake City, UT",United States,40.788333,-111.992777,,,INCIDENT,Minor,N551UA,Boeing,757,SCHD,"United Airlines (DBA: United Airlines, Inc.)",0,0,140.0,VMC,CRUISE,2003
CHI97LA292,1997-09-14,"GRAND FORKS, ND",United States,,,,,NON-FATAL,,N175UA,Boeing,747,SCHD,UNITED AIRLINES (DBA: UNITED AIRLINES),0,1,322.0,IMC,CRUISE,1997
ENG10IA029,2010-05-16,"Chantilly, VA",United States,,,IAD,Washington Dulles,INCIDENT,Minor,N510UA,Boeing,757,SCHD,United Airlines (DBA: United Airlines),0,0,112.0,,,2010
CHI02IA050,2001-12-13,"Chicago, IL",United States,,,ORD,CHICAGO O'HARE INTL,INCIDENT,,N359UA,Boeing,737,SCHD,United Airlines (DBA: United Airlines),0,0,99.0,VMC,DESCENT,2001
WPR12LA057,2011-12-01,"Modesto, CA",United States,37.785277,-119.706944,,,NON-FATAL,,N547UA,Boeing,757,SCHD,United Airlines (DBA: United Airlines),0,1,151.0,VMC,APPROACH,2011
NYC03LA104,2003-05-07,"New Market, VA",United States,38.635555,-78.666667,,,NON-FATAL,,N650UA,Boeing,767,SCHD,UNITED AIRLINES (DBA: United Airlines),0,1,147.0,VMC,DESCENT,2003
DCA14CA157,2014-08-18,"Reykjavik, Iceland",Iceland,58.0,-30.0,,,NON-FATAL,,N666UA,Boeing,767,SCHD,UNITED AIRLINES INC,0,1,220.0,VMC,CRUISE,2014
LAX04LA007A,2003-10-07,"San Francisco, CA",United States,37.618889,-122.374723,KSFO,San Francisco International,NON-FATAL,Substantial,N222UA,Boeing,777,SCHD,UNITED AIRLINES INC,0,0,450.0,VMC,TAXI,2003
CHI07FA020B,2006-11-07,"Chicago, IL",United States,41.978611,-87.904722,ORD,O'Hare International,NON-FATAL,Substantial,N328UA,Boeing,737,SCHD,UNITED AIRLINES INC (DBA: United Airlines),0,0,216.0,IMC,STANDING,2006
CHI03IA097,2003-04-01,"Chicago, IL",United States,41.979723,-87.904444,ORD,Chicago O'Hare Intl,INCIDENT,,N175UA,Boeing,747,SCHD,United Airlines Inc (DBA: United Airlines),0,0,319.0,VMC,CRUISE,2003
DCA10FA012,2009-11-18,"New Market, WV",United States,38.655556,-78.708056,,,NON-FATAL,,N209UA,Boeing,777,SCHD,"United Airlines Inc.,",0,1,198.0,IMC,,2009
LAX99LA302,1999-09-12,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTERNATIONAL,NON-FATAL,Substantial,N388UA,Boeing,737,SCHD,"UNITED AIRLINES, INC.",0,0,86.0,VMC,TAXI,1999
LAX99LA291,1999-09-02,"SANTA BARBARA, CA",United States,,,,,NON-FATAL,Minor,N371UA,Boeing,737,SCHD,"UNITED AIRLINES, INC.",0,1,98.0,VMC,CRUISE,1999
